SMILES,IC50 (nM)
C=CC(=O)N1CC[C@]2(C1)C[C@H](n1c(NC(=O)c3ccc(-c4cnco4)s3)nc3cc(CN4CCOCC4)ccc31)C2, 1.81
CN(C)C/C=C/C(=O)N(C)c1cc2c(cc1F)nc(Nc1ccccc1Cl)c1cncn12, 1.82
C=CC(=O)N1CC[C@]2(C1)C[C@H](n1c(NC(=O)c3ccc(-c4cc(N)ncn4)s3)nc3ccccc31)C2, 1.83
CCN(CC)C/C=C/C(=O)N1CC[C@@H](n2cc(C(=O)Nc3nc4cc(-c5ccccc5)ccc4o3)c3c(N)ncnc32)C1, 1.84
Cc1cccc(C)c1Nc1nn(C)c2nc(Nc3ccc4c(c3)C(C)(C)NCC4)ncc12, 1.84
Nc1ncnc2c1c(C(=O)Nc1nc3cc(-c4ccccc4)ccc3o1)cn2[C@@H]1CCN(C(=O)/C=C/CN2CCCC2)C1, 1.88
Cc1c(F)cccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12, 1.89
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OC)cc3)nn21, 1.90
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(F)cc3)nn21, 1.90
CC#CC(=O)N1CCC2CN(c3c(F)cc(C(N)=O)c4[nH]c(C)c(C)c34)CC21, 1.90
COC/C=C/C(=O)N1CC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c(C(N)=O)c2N)C1, 1.9
Nc1nccn2c([C@H]3CC[C@@H](C(=O)N4CCC[C@H]4C(=O)O)C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12, 1.90
CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2C[C@H]3CC[C@@H](C2)[C@H]3C(=O)O)n2ccnc(N)c12, 1.90
CC1(C(=O)O)CCC(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)ncc(Cl)n23)CC1, 1.90
CC1(C(=O)O)CCC(N2CCC[C@@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4F)c4c(N)nccn34)C2)CC1, 1.90
CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@H]2CN(C3CCC(C)(C(=O)O)CC3)[C@@H](C)CO2)n2c(Cl)cnc(N)c12, 1.90
CC(C)[C@]1(C(=O)O)CC[C@@H](N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4F)c4c(N)ncc(Cl)n34)OC[C@@H]2C)CC1, 1.90
NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn(C2CC3(C2)CN(C(=O)/C=C/CN2CCOCC2)C3)c1N, 1.90
C=CC(=O)N1CC[C@]2(C1)C[C@H](n1nc(-c3ccc(OC4CCCC4)cc3)c(C(N)=O)c1N)C2, 1.90
CC#CC(=O)N1CCC2CN(c3c(F)cc(C(N)=O)c4[nH]c(C)c(C)c34)CC21, 1.90
C[C@@](O)(c1ccc(-c2nc([C@@H]3CC[C@H]4COCC(=O)N4C3)n3ccnc(N)c23)cc1)c1cccc(C(F)(F)F)c1, 1.90
C=CC(=O)N(C)C/C=C/c1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C, 1.9
Cn1cc(-c2nc3c(-c4ccc5c(c4)CCC[C@@H]5NC(=O)c4nc(C(C)(C)C)no4)ccnc3[nH]2)cn1, 1.9
N#CN1CC(c2cc3cc(C4CC4)ccc3c(=O)n2-c2cccc(-c3ccc4[nH]ncc4c3)c2CO)C1, 1.90
CC#CC(=O)N1CC[C@]2(C1)C[C@H](n1nc(-c3cnn(Cc4cc(C(F)(F)F)ccc4F)c3)c(C(N)=O)c1N)C2, 1.90
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(F)cc3)nn21, 1.90
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OC)cc3)nn21, 1.9
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5F)cc4)[nH]c23)C1, 1.9
C=CC(=O)N[C@H]1CCN(c2ccc(C(N)=O)c(Nc3ccc(CCN4CCCC4)cc3)n2)C1, 1.9
COc1cc(C(=O)Nc2cc(C3CC3)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2ccnc(N)c12, 1.9
Cn1cc(-c2cc(F)cc(-n3ncc4cc(C(C)(C)C)cc(F)c4c3=O)c2CO)cc(NC(=O)[C@H]2C[C@H]2F)c1=O, 1.9
